design_id,predictor,prediction_status,pass,plddt_mean,confidence_score,ptm,iptm,pae_mean,ranking_score,motif_rmsd,motif_atoms_compared,motif_atoms_missing,clash_count,model_output_path,confidence_file,parse_error
design_11,rf3,MISSING,,,,,,,,,,,,,,
design_11,boltz,MISSING,,,,,,,,,,,,,,
design_12,af3,SUCCESS,FAIL,51.4472,51.4472,,,12.0724,,2.19799,76,0,1,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_12/predictions_flat/design_12.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_12/predictions_flat/design_12.json,
design_12,rf3,MISSING,,,,,,,,,,,,,,
design_12,boltz,MISSING,,,,,,,,,,,,,,
design_13,af3,SUCCESS,PASS,84.1596,84.1596,,,4.32854,,2.0856,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_13/predictions_flat/design_13.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_13/predictions_flat/design_13.json,
design_13,rf3,SUCCESS,PASS,79.1951,79.1951,,,4.1422,,2.11287,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_13/predictions_flat/rf3/design_13.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_13/predictions_flat/rf3/design_13.json,
design_13,boltz,MISSING,,,,,,,,,,,,,,
design_14,af3,SUCCESS,FAIL,56.3382,56.3382,,,12.0793,,3.23624,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_14/predictions_flat/design_14.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_14/predictions_flat/design_14.json,
design_14,rf3,MISSING,,,,,,,,,,,,,,
design_14,boltz,MISSING,,,,,,,,,,,,,,
design_15,af3,SUCCESS,FAIL,74.5657,74.5657,,,17.6555,,7.58646,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_15/predictions_flat/design_15.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_15/predictions_flat/design_15.json,
design_15,rf3,MISSING,,,,,,,,,,,,,,
design_15,boltz,MISSING,,,,,,,,,,,,,,
design_16,af3,SUCCESS,PASS,90.7715,90.7715,,,2.92595,,1.87639,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_16/predictions_flat/design_16.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_16/predictions_flat/design_16.json,
design_16,rf3,SUCCESS,PASS,81.4357,81.4357,,,3.73192,,0.879466,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_16/predictions_flat/rf3/design_16.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_16/predictions_flat/rf3/design_16.json,
design_16,boltz,MISSING,,,,,,,,,,,,,,
design_17,af3,SUCCESS,PASS,82.5005,82.5005,,,7.30941,,2.34052,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_17/predictions_flat/design_17.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_17/predictions_flat/design_17.json,
design_17,rf3,SUCCESS,PASS,84.5949,84.5949,,,5.66778,,2.42242,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_17/predictions_flat/rf3/design_17.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_17/predictions_flat/rf3/design_17.json,
design_17,boltz,MISSING,,,,,,,,,,,,,,
design_18,af3,SUCCESS,FAIL,64.1925,64.1925,,,12.3576,,1.36492,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_18/predictions_flat/design_18.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_18/predictions_flat/design_18.json,
design_18,rf3,MISSING,,,,,,,,,,,,,,
design_18,boltz,MISSING,,,,,,,,,,,,,,
design_19,af3,SUCCESS,FAIL,73.196,73.196,,,8.69602,,3.59745,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_19/predictions_flat/design_19.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_19/predictions_flat/design_19.json,
design_19,rf3,MISSING,,,,,,,,,,,,,,
design_19,boltz,MISSING,,,,,,,,,,,,,,
design_2,af3,SUCCESS,PASS,86.7435,86.7435,,,4.42633,,0.913073,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_2/predictions_flat/design_2.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_2/predictions_flat/design_2.json,
design_2,rf3,SUCCESS,PASS,86.0052,86.0052,,,2.99828,,1.07191,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_2/predictions_flat/rf3/design_2.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_2/predictions_flat/rf3/design_2.json,
design_2,boltz,MISSING,,,,,,,,,,,,,,
design_3,af3,SUCCESS,FAIL,62.2282,62.2282,,,10.2422,,1.48345,76,0,1,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_3/predictions_flat/design_3.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_3/predictions_flat/design_3.json,
design_3,rf3,MISSING,,,,,,,,,,,,,,
design_3,boltz,MISSING,,,,,,,,,,,,,,
design_4,af3,SUCCESS,FAIL,84.5268,84.5268,,,4.06373,,2.94986,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_4/predictions_flat/design_4.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_4/predictions_flat/design_4.json,
design_4,rf3,MISSING,,,,,,,,,,,,,,
design_4,boltz,MISSING,,,,,,,,,,,,,,
design_5,af3,SUCCESS,FAIL,60.0847,60.0847,,,15.6495,,2.61669,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_5/predictions_flat/design_5.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_5/predictions_flat/design_5.json,
design_5,rf3,MISSING,,,,,,,,,,,,,,
design_5,boltz,MISSING,,,,,,,,,,,,,,
design_6,af3,SUCCESS,FAIL,77.4687,77.4687,,,11.8157,,0.78229,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_6/predictions_flat/design_6.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_6/predictions_flat/design_6.json,
design_6,rf3,MISSING,,,,,,,,,,,,,,
design_6,boltz,MISSING,,,,,,,,,,,,,,
design_7,af3,SUCCESS,FAIL,64.4063,64.4063,,,12.5403,,4.10015,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_7/predictions_flat/design_7.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_7/predictions_flat/design_7.json,
design_7,rf3,MISSING,,,,,,,,,,,,,,
design_7,boltz,MISSING,,,,,,,,,,,,,,
design_8,af3,SUCCESS,PASS,84.7151,84.7151,,,4.9163,,0.867256,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_8/predictions_flat/design_8.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_8/predictions_flat/design_8.json,
design_8,rf3,SUCCESS,FAIL,85.0533,85.0533,,,3.28477,,2.57679,76,0,1,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_8/predictions_flat/rf3/design_8.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rf3_confirmations_final/design_8/predictions_flat/rf3/design_8.json,
design_8,boltz,MISSING,,,,,,,,,,,,,,
design_9,af3,SUCCESS,FAIL,60.2971,60.2971,,,11.9686,,3.09165,76,0,0,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_9/predictions_flat/design_9.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/array_work/design_9/predictions_flat/design_9.json,
design_9,rf3,MISSING,,,,,,,,,,,,,,
design_9,boltz,MISSING,,,,,,,,,,,,,,
